YEAR,ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
2014,60168,730,830,980,1250,1460
2014,60169,790,890,1060,1350,1580
2014,60171,650,740,880,1120,1310
2014,60172,790,890,1060,1350,1580
2014,60173,910,1040,1230,1570,1830
2014,60176,680,780,920,1170,1370
2014,60192,1090,1240,1470,1870,2180
2014,60193,900,1020,1210,1540,1800
2014,60194,910,1030,1220,1560,1810
2014,60195,930,1050,1250,1590,1860
2014,60201,940,1060,1260,1610,1870
2014,60202,820,930,1100,1400,1630
2014,60203,1080,1230,1460,1860,2170
2014,60204,730,830,980,1250,1460
2014,60301,900,1020,1210,1540,1800
2014,60302,740,840,990,1260,1470
2014,60303,730,830,980,1250,1460
2014,60304,690,780,930,1190,1380
2014,60305,720,820,970,1240,1440
2014,60402,680,770,910,1160,1350
2014,60406,620,710,840,1070,1250
2014,60409,680,770,910,1160,1350
2014,60411,690,780,930,1190,1380
2014,60412,730,830,980,1250,1460
2014,60415,680,770,910,1160,1350
2014,60419,790,890,1060,1350,1580
2014,60422,1090,1240,1470,1870,2180
2014,60425,710,800,950,1210,1410
2014,60426,740,840,990,1260,1470
2014,60428,940,1060,1260,1610,1870
2014,60429,930,1050,1250,1590,1860
2014,60430,690,780,930,1190,1380
2014,60438,680,770,910,1160,1350
2014,60439,650,740,880,1120,1310
2014,60443,910,1030,1220,1560,1810
2014,60445,670,760,900,1150,1340
2014,60452,710,800,950,1210,1410
2014,60453,710,800,950,1210,1410
2014,60454,730,830,980,1250,1460
2014,60455,650,740,880,1120,1310
2014,60456,480,540,640,820,950
2014,60457,660,750,890,1130,1320
2014,60458,720,820,970,1240,1440
2014,60459,710,810,960,1220,1430
2014,60461,730,830,980,1250,1460
2014,60462,750,850,1010,1290,1500
2014,60463,1090,1240,1470,1870,2180
2014,60464,1090,1240,1470,1870,2180
2014,60465,720,820,970,1240,1440
2014,60466,710,810,960,1220,1430
2014,60467,1090,1240,1470,1870,2180
2014,60469,790,900,1070,1360,1590
2014,60471,770,880,1040,1330,1550
2014,60472,650,740,880,1120,1310
2014,60473,1080,1230,1460,1860,2170
2014,60475,630,720,850,1080,1260
2014,60476,620,710,840,1070,1250
2014,60477,740,840,1000,1270,1490
2014,60478,1090,1240,1470,1870,2180
2014,60480,630,720,850,1080,1260
2014,60482,680,780,920,1170,1370
2014,60487,850,970,1150,1470,1710
2014,60499,730,830,980,1250,1460
2014,60501,680,770,910,1160,1350
2014,60513,760,870,1030,1310,1530
2014,60521,870,990,1170,1490,1740
2014,60525,710,800,950,1210,1410
2014,60526,770,880,1040,1330,1550
2014,60527,800,910,1080,1380,1610
2014,60534,690,780,930,1190,1380
2014,60546,660,750,890,1130,1320
2014,60558,730,830,980,1250,1460
2014,60601,1090,1240,1470,1870,2180
2014,60602,1090,1240,1470,1870,2180
2014,60603,1090,1240,1470,1870,2180
2014,60604,1090,1240,1470,1870,2180
2014,60605,1090,1240,1470,1870,2180
2014,60606,1090,1240,1470,1870,2180
2014,60607,1020,1160,1370,1750,2040
2014,60608,610,690,820,1050,1220
2014,60609,630,720,850,1080,1260
2014,60610,970,1100,1300,1660,1930
2014,60611,1090,1240,1470,1870,2180
2014,60612,760,860,1020,1300,1520
2014,60613,850,960,1140,1450,1690
2014,60614,960,1090,1290,1640,1920
2014,60615,700,790,940,1200,1400
2014,60616,700,790,940,1200,1400
2014,60617,630,720,850,1080,1260
2014,60618,760,860,1020,1300,1520
2014,60619,640,730,860,1100,1280
2014,60620,680,770,910,1160,1350
2014,60621,670,760,900,1150,1340
2014,60622,850,970,1150,1470,1710
2014,60623,620,700,830,1060,1230
2014,60624,750,850,1010,1290,1500
2014,60625,720,820,970,1240,1440
2014,60626,650,740,880,1120,1310
2014,60628,740,840,1000,1270,1490
2014,60629,680,780,920,1170,1370
2014,60630,720,820,970,1240,1440
2014,60631,770,880,1040,1330,1550
2014,60632,640,730,860,1100,1280
2014,60633,660,750,890,1130,1320
2014,60634,710,810,960,1220,1430
2014,60636,720,820,970,1240,1440
2014,60637,700,790,940,1200,1400
2014,60638,670,760,900,1150,1340
2014,60639,710,810,960,1220,1430
2014,60640,650,740,880,1120,1310
2014,60641,680,780,920,1170,1370
2014,60642,840,950,1130,1440,1680
2014,60643,710,800,950,1210,1410
2014,60644,670,760,900,1150,1340
2014,60645,740,840,990,1260,1470
2014,60646,710,810,960,1220,1430
2014,60647,750,850,1010,1290,1500
2014,60649,630,720,850,1080,1260
2014,60651,740,840,1000,1270,1490
2014,60652,760,870,1030,1310,1530
2014,60653,580,660,780,990,1160
2014,60654,1090,1240,1470,1870,2180
2014,60655,690,780,930,1190,1380
2014,60656,770,880,1040,1330,1550
2014,60657,900,1020,1210,1540,1800
2014,60659,740,840,990,1260,1470
2014,60660,650,730,870,1110,1290
2014,60661,1080,1230,1460,1860,2170
2014,60666,730,830,980,1250,1460
2014,60681,730,830,980,1250,1460
2014,60690,730,830,980,1250,1460
2014,60694,730,830,980,1250,1460
2014,60706,670,760,900,1150,1340
